# ----------------------------------------
# Traffic acquisition: Session source / medium
# Account: www.netco.de
# Property: NetCo allgemein (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260131
Session source / medium,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
b158f7bce70b0240e303822ee21fa217.safeframe.googlesyndication.com / referral,1,1,1,219,6,6,0,0,0
bortal2655.webcam-profi.de / referral,1,0,0,0,2,2,0,0,0
bouwtv.com / referral,1,1,1,6,7,7,0,0,0
buchstaben.com / referral,1,1,1,12,5,5,0,0,0
buzzfeed.com / referral,1,1,1,0,4,4,0,0,0
capology.com / referral,1,1,1,77,23,23,0,0,0
chat.missena.io / referral,1,1,1,3,6,6,0,0,0
city-map.com / referral,1,1,1,29,13,13,0,0,0
cn.bing.com / referral,1,1,1,62,10,10,0,0,0
config.seedtag.com / referral,1,0,0,0,3,3,0,0,0
d09000000h6area0.lightning.force.com / referral,1,1,1,19,5,5,0,0,0
dbsw.sharepoint.com / referral,1,1,1,37,15,15,0,0,0
de.kompass.com / referral,1,0,0,3,5,5,0,0,0
de.linkedin.com / referral,1,1,1,28,4,4,0,0,0
docs.google.com / referral,1,1,1,73,7,7,0,0,0
eclipso.de / referral,1,0,0,5,4,4,0,0,0
email.t-online.de / referral,1,0,0,0,4,4,0,0,0
emailsystem.ignoprg.ir / referral,1,1,1,2,7,7,0,0,0
eu.startpage.com / referral,1,0,0,0,2,2,0,0,0
eu2.cleverreach.com / referral,1,0,0,0,3,3,0,0,0
euw.citaviweb.citavi.com / referral,1,0,0,0,2,2,0,0,0
facebook / bezahltewerbung,1,1,1,5,7,7,0,0,0
familie.de / referral,1,1,1,94,5,5,0,0,0
fb-SiteLink / paid,1,0,0,9,4,4,0,0,0
fgjb.de / referral,1,0,0,0,3,3,0,0,0
finde-offen.de / referral,1,1,1,65,5,5,0,0,0
findum.de / referral,1,1,1,138,6,6,0,0,0
finya.de / referral,1,1,1,24,5,5,0,0,0
firmeneintrag.creditreform.de / referral,1,1,1,48,11,11,0,0,0
florakoeln.webcam-profi.de / referral,1,0,0,0,3,3,0,0,0
gelbeseiten.de / referral,1,1,1,114,12,12,0,0,0
getpocket.com / referral,1,0,0,8,5,5,0,0,0
globalstepstone.lightning.force.com / referral,1,1,1,12,6,6,0,0,0
heimvorteil-harz.de / referral,1,1,1,10,5,5,0,0,0
heraldweekly.com / referral,1,1,1,18,5,5,0,0,0
hide.me / referral,1,1,1,10,6,6,0,0,0
info.com / referral,1,1,1,30,9,9,0,0,0
innorix.com:1338 / referral,1,1,1,4,7,7,0,0,0
isales.iloxx.de / referral,1,1,1,26,22,22,0,0,0
ispovesti.com / referral,1,0,0,1,4,4,0,0,0
iyfbodn.com / referral,1,1,1,17,5,5,0,0,0
job-treff.de / referral,1,1,1,3,10,10,0,0,0
justperfact.com / referral,1,1,1,3,8,8,0,0,0
kaorinusantara.or.id / referral,1,0,0,0,4,4,0,0,0
keep.google.com / referral,1,1,1,494,33,33,0,0,0
kommunale-ordnung.de / referral,1,1,1,57,14,14,0,0,0
learnitwise.com / referral,1,0,0,0,3,3,0,0,0
links.google.wdsystem.cn / referral,1,1,1,4,5,5,0,0,0
live365.sy-server.de / referral,1,1,1,66,8,8,0,0,0
mail.lk-bs.de / referral,1,1,1,44,5,5,0,0,0
maps.google.com / referral,1,1,1,38,14,14,0,0,0
maqal360.com / referral,1,1,1,19,5,5,0,0,0
metager.de / referral,1,1,1,116,8,8,0,0,0
metajob.de / referral,1,1,1,28,10,10,0,0,0
misterstory.com / referral,1,0,0,2,5,5,0,0,0
mobile.spin.de / referral,1,1,1,2,6,6,0,0,0
moviesdimension.com / referral,1,0,0,0,2,2,0,0,0
ms12xwa.webland.ch / referral,1,0,0,4,4,4,0,0,0
murata.lightning.force.com / referral,1,1,1,1,6,6,0,0,0
musclelab.de / referral,1,0,0,1,4,4,0,0,0
mx.gov.mailcloud.tw / referral,1,0,0,4,4,4,0,0,0
my.dpd.de / referral,1,1,1,23,8,8,0,0,0
my.intricately.com / referral,1,1,1,14,9,9,0,0,0
